iter	RMSE
0	61607.94381
1	49393.57258
2	42368.71127
3	37341.80532
4	33063.87294
5	29999.81124
6	28095.9946
7	26905.94892
8	25535.73148
9	24357.96072
10	23583.47357
11	22619.38794
12	22454.05157
13	22249.91734
14	22089.80635
15	21333.65268
16	21222.5686
17	20662.74732
18	20526.75427
19	19945.9715
20	19506.01363
21	19140.62877
22	18752.84066
23	18404.27457
24	17943.64587
25	17656.49052
26	17578.38398
27	17155.04264
28	16940.27483
29	16883.57238
30	16578.37017
31	16371.20478
32	16051.78112
33	15687.03026
34	15442.44107
35	15164.10299
36	15131.8289
37	14902.26218
38	14873.29548
39	14673.32195
40	14648.62831
41	14359.90772
42	14202.61678
43	14102.74933
44	13907.83051
45	13752.62876
46	13578.49608
47	13390.49881
48	13240.35981
49	13145.2987
50	12931.63865
51	12905.2151
52	12746.26256
53	12518.50652
54	12268.65792
55	12150.9914
56	12098.8817
57	11968.92479
58	11769.51858
59	11684.15861
60	11462.23866
61	11350.03414
62	11142.96574
63	11027.82623
64	10844.02263
65	10761.59919
66	10619.35403
67	10544.96411
68	10491.8653
69	10361.73051
70	10234.35744
71	10093.5116
72	10060.70886
73	10030.43909
74	9975.892556
75	9842.80377
76	9752.431767
77	9721.001722
78	9626.360271
79	9518.775941
80	9434.22557
81	9424.725436
82	9355.875849
83	9347.633796
84	9229.795668
85	9179.430445
86	9045.888974
87	8966.558604
88	8862.059147
89	8685.03846
90	8677.096157
91	8556.072452
92	8466.7342
93	8422.801285
94	8356.022438
95	8347.633011
96	8283.617927
97	8210.225026
98	8147.071106
99	8102.422124
100	7969.550898
101	7864.874921
102	7859.056672
103	7739.891971
104	7656.151686
105	7524.66135
106	7520.124149
107	7458.879707
108	7370.047308
109	7332.491698
110	7232.78215
111	7171.488945
112	7090.47597
113	7085.705788
114	7003.858217
115	6996.495818
116	6936.856797
117	6866.304944
118	6843.768901
119	6758.526894
120	6691.188776
121	6619.137763
122	6545.456755
123	6467.703064
124	6450.558785
