iter	Passed	Remaining
186	2621	15603
187	2631	15563
188	2655	15608
189	2665	15574
190	2675	15535
191	2685	15497
192	2702	15499
193	2712	15465
194	2728	15463
195	2746	15471
196	2762	15464
197	2776	15454
198	2789	15434
199	2800	15405
200	2818	15408
201	2828	15373
202	2836	15330
203	2852	15322
204	2873	15346
205	2883	15311
206	2892	15273
207	2909	15273
208	2919	15241
209	2929	15204
210	2938	15168
211	2948	15134
212	2960	15109
213	2974	15092
214	2987	15077
215	2998	15047
216	3010	15023
217	3025	15016
218	3040	15009
219	3058	15013
220	3067	14975
221	3077	14945
222	3090	14925
223	3107	14928
224	3119	14902
225	3134	14897
226	3147	14877
227	3162	14869
228	3181	14879
229	3191	14845
230	3204	14830
231	3213	14795
232	3223	14760
233	3235	14738
234	3245	14706
235	3256	14681
236	3265	14648
237	3275	14616
238	3288	14597
239	3299	14574
240	3310	14546
241	3330	14562
242	3343	14544
243	3353	14513
244	3363	14485
245	3382	14493
246	3403	14510
247	3413	14481
248	3425	14458
249	3436	14433
250	3449	14414
251	3469	14430
252	3492	14452
253	3503	14428
254	3515	14406
255	3527	14383
256	3536	14354
257	3553	14351
258	3566	14334
259	3577	14308
260	3587	14282
261	3605	14282
262	3616	14258
263	3626	14231
264	3641	14222
265	3650	14191
266	3669	14197
267	3679	14169
268	3689	14139
269	3707	14141
270	3723	14138
271	3733	14111
272	3745	14091
273	3760	14081
274	3783	14102
275	3795	14083
276	3809	14067
277	3824	14060
278	3840	14055
279	3849	14023
280	3864	14012
281	3876	13992
282	3889	13976
283	3901	13958
284	3917	13953
285	3933	13944
286	3948	13936
287	3958	13909
288	3970	13888
289	3991	13901
290	4001	13876
291	4012	13850
292	4022	13824
293	4039	13821
294	4050	13798
295	4062	13780
296	4080	13780
297	4089	13751
298	4100	13726
299	4114	13714
300	4123	13687
301	4136	13671
302	4149	13652
303	4161	13632
304	4180	13637
305	4190	13613
306	4203	13595
307	4214	13573
308	4233	13576
309	4245	13557
310	4256	13534
311	4267	13512
312	4287	13518
313	4305	13520
314	4314	13491
315	4327	13475
316	4337	13449
317	4348	13427
318	4367	13431
319	4379	13412
320	4404	13431
321	4422	13433
322	4433	13409
323	4452	13411
324	4461	13384
325	4473	13366
326	4496	13380
327	4516	13382
328	4525	13357
329	4535	13331
330	4546	13309
331	4559	13292
332	4572	13278
333	4581	13250
334	4593	13231
335	4604	13210
336	4614	13186
337	4623	13160
338	4633	13135
339	4648	13124
340	4658	13100
341	4668	13077
342	4679	13055
343	4692	13039
344	4701	13013
345	4716	13003
346	4728	12985
347	4743	12975
348	4753	12953
349	4763	12929
350	4779	12923
351	4792	12907
352	4819	12929
353	4831	12910
354	4843	12892
355	4853	12870
356	4865	12853
357	4885	12853
358	4903	12852
359	4913	12830
360	4923	12806
361	4938	12795
362	4949	12775
363	4961	12757
364	4981	12760
365	4995	12749
366	5004	12722
367	5018	12709
368	5038	12711
369	5049	12691
370	5073	12704
371	5083	12682
372	5093	12658
373	5112	12658
374	5125	12642
375	5142	12638
376	5153	12617
377	5163	12595
378	5173	12571
379	5190	12567
380	5205	12555
381	5214	12532
382	5231	12525
383	5241	12502
384	5252	12483
385	5261	12458
386	5270	12435
387	5280	12412
388	5293	12396
389	5302	12372
390	5317	12363
391	5345	12381
392	5364	12381
393	5375	12361
394	5392	12355
395	5406	12341
396	5422	12334
397	5434	12316
398	5451	12310
399	5468	12304
400	5491	12312
401	5504	12295
402	5520	12287
403	5533	12271
404	5549	12263
405	5559	12242
406	5575	12232
407	5587	12215
408	5601	12203
409	5611	12180
410	5620	12157
411	5639	12155
412	5650	12136
413	5660	12113
414	5671	12094
415	5682	12075
416	5694	12058
417	5711	12051
418	5723	12035
419	5733	12013
420	5751	12008
421	5762	11989
422	5775	11973
423	5790	11963
424	5800	11941
425	5811	11922
426	5822	11905
427	5844	11907
428	5852	11883
429	5865	11868
430	5876	11848
431	5887	11829
432	5900	11813
433	5915	11802
434	5936	11803
435	5961	11814
436	5974	11798
437	5984	11777
438	5994	11756
439	6005	11737
440	6021	11729
441	6040	11724
442	6050	11704
443	6070	11702
444	6088	11699
445	6098	11677
446	6116	11671
447	6143	11683
448	6153	11662
449	6162	11640
450	6172	11620
451	6183	11600
452	6195	11583
453	6214	11580
454	6225	11561
455	6235	11541
456	6246	11522
457	6266	11519
458	6277	11502
459	6288	11482
460	6305	11475
461	6314	11453
462	6329	11441
463	6342	11427
464	6360	11421
465	6376	11411
466	6387	11393
467	6404	11385
468	6415	11367
469	6425	11347
470	6438	11331
471	6453	11320
472	6464	11301
473	6479	11291
474	6494	11280
475	6505	11262
476	6516	11243
477	6535	11238
478	6547	11221
479	6558	11203
480	6566	11181
481	6578	11164
482	6595	11155
483	6606	11138
484	6619	11123
485	6630	11105
486	6643	11089
487	6656	11076
488	6670	11062
489	6681	11045
490	6715	11064
491	6729	11051
492	6744	11040
493	6756	11024
494	6773	11015
495	6784	10997
496	6796	10981
497	6807	10962
498	6816	10942
499	6837	10940
500	6849	10924
501	6859	10904
502	6869	10884
503	6879	10864
504	6890	10847
505	6905	10835
506	6914	10815
507	6926	10798
508	6938	10782
509	6953	10770
510	6965	10754
511	6976	10737
512	6988	10721
513	7001	10706
514	7027	10711
515	7039	10696
516	7052	10680
517	7064	10664
518	7077	10650
519	7088	10633
520	7105	10624
521	7123	10616
522	7139	10606
523	7153	10593
524	7164	10576
525	7179	10565
526	7191	10548
527	7205	10535
528	7217	10519
529	7231	10506
530	7243	10490
531	7255	10474
532	7271	10463
533	7284	10449
534	7295	10432
535	7307	10416
536	7323	10405
537	7335	10390
538	7347	10374
539	7365	10366
540	7376	10348
541	7386	10330
542	7414	10337
543	7424	10317
544	7443	10311
545	7454	10293
546	7477	10294
547	7490	10279
548	7503	10264
549	7512	10244
550	7525	10229
551	7536	10212
552	7548	10196
553	7564	10186
554	7576	10170
555	7595	10163
556	7605	10144
557	7623	10137
558	7635	10121
559	7647	10106
560	7661	10092
561	7678	10083
562	7691	10069
563	7703	10052
564	7714	10036
565	7725	10018
566	7737	10003
567	7754	9992
568	7767	9978
569	7782	9967
570	7799	9957
571	7809	9939
572	7820	9922
573	7839	9915
574	7850	9898
575	7860	9880
576	7876	9869
577	7893	9859
578	7903	9841
579	7919	9830
580	7930	9813
581	7941	9796
582	7958	9787
583	7970	9771
584	7986	9761
585	7996	9743
586	8006	9724
587	8015	9705
588	8033	9697
589	8043	9679
590	8061	9670
591	8069	9650
592	8089	9644
593	8102	9630
594	8113	9612
595	8123	9595
596	8132	9576
597	8149	9566
598	8160	9550
599	8173	9535
600	8184	9519
601	8198	9505
602	8215	9496
603	8227	9480
604	8255	9483
605	8274	9475
606	8301	9477
607	8311	9460
608	8322	9443
609	8333	9426
610	8347	9413
611	8365	9404
612	8376	9388
613	8389	9372
614	8415	9373
615	8425	9355
616	8434	9336
617	8445	9319
618	8457	9304
619	8478	9299
620	8492	9285
621	8502	9268
622	8517	9255
623	8543	9255
624	8554	9238
625	8564	9220
626	8582	9211
627	8595	9197
628	8609	9184
629	8620	9168
630	8633	9152
631	8646	9138
632	8654	9119
633	8671	9108
634	8681	9092
635	8696	9079
636	8710	9065
637	8717	9045
638	8733	9034
639	8747	9020
640	8766	9012
641	8776	8995
642	8792	8983
643	8810	8974
644	8823	8960
645	8841	8950
646	8850	8933
647	8861	8916
648	8871	8899
649	8882	8882
650	8890	8863
651	8903	8849
652	8919	8837
653	8933	8824
654	8949	8812
655	8959	8795
656	8969	8778
657	8979	8760
658	8993	8747
659	9007	8734
660	9019	8718
661	9033	8706
662	9050	8695
663	9065	8682
664	9075	8666
665	9090	8653
666	9099	8635
667	9117	8626
668	9128	8610
669	9150	8604
670	9160	8586
671	9169	8569
672	9180	8552
673	9196	8541
674	9208	8526
675	9221	8512
676	9239	8502
677	9251	8486
678	9261	8470
679	9275	8457
680	9288	8443
681	9301	8428
682	9312	8412
683	9326	8399
684	9343	8389
685	9357	8375
686	9369	8360
687	9380	8344
688	9391	8327
689	9404	8314
690	9421	8303
691	9430	8286
692	9446	8273
693	9462	8262
694	9474	8247
695	9489	8235
696	9498	8217
697	9511	8203
698	9545	8207
699	9557	8192
700	9580	8186
701	9590	8169
702	9602	8155
703	9620	8144
704	9628	8126
705	9642	8113
706	9657	8100
707	9667	8083
708	9677	8066
709	9692	8054
710	9703	8038
711	9723	8029
712	9733	8013
713	9743	7996
714	9753	7980
715	9764	7964
716	9783	7955
717	9800	7944
718	9814	7930
719	9824	7914
720	9835	7898
721	9852	7887
722	9870	7877
723	9883	7863
724	9901	7853
725	9922	7845
726	9934	7829
727	9947	7815
728	9958	7800
729	9976	7790
730	9989	7775
731	10000	7760
732	10025	7755
733	10035	7738
734	10052	7727
735	10069	7716
736	10085	7704
737	10095	7687
738	10106	7672
739	10120	7659
740	10139	7648
741	10157	7638
742	10170	7624
743	10190	7615
744	10204	7602
745	10216	7587
746	10227	7571
747	10239	7556
748	10251	7541
749	10266	7528
750	10276	7512
751	10292	7500
752	10311	7490
753	10321	7474
754	10333	7458
755	10345	7444
756	10359	7430
757	10375	7418
758	10388	7404
759	10401	7390
760	10411	7374
761	10423	7359
762	10433	7342
763	10442	7326
764	10451	7309
765	10469	7298
766	10479	7282
767	10491	7267
768	10515	7260
769	10526	7245
770	10537	7230
771	10548	7214
772	10560	7199
773	10578	7189
774	10589	7173
775	10599	7157
776	10607	7140
777	10618	7124
778	10629	7109
779	10639	7092
780	10657	7081
781	10667	7066
782	10679	7051
783	10691	7036
784	10707	7024
785	10722	7011
786	10731	6995
787	10750	6984
788	10762	6970
789	10773	6955
790	10785	6940
791	10795	6924
792	10807	6909
793	10817	6893
794	10826	6877
795	10838	6862
796	10850	6848
797	10871	6838
798	10887	6826
799	10902	6813
800	10918	6801
801	10929	6786
802	10948	6776
803	10967	6766
804	10980	6752
805	10990	6736
806	11000	6720
807	11029	6715
808	11048	6705
809	11062	6691
810	11077	6679
811	11111	6677
812	11123	6663
813	11146	6655
814	11164	6644
815	11216	6652
816	11240	6645
817	11261	6635
818	11277	6623
819	11295	6612
820	11316	6602
821	11344	6596
822	11362	6585
823	11384	6576
824	11418	6574
825	11430	6559
826	11455	6552
827	11468	6537
828	11481	6523
829	11495	6509
830	11512	6497
831	11527	6484
832	11557	6479
833	11576	6468
834	11590	6454
835	11599	6438
836	11628	6432
837	11639	6417
838	11656	6405
839	11671	6391
840	11688	6379
841	11697	6362
842	11714	6350
843	11727	6336
844	11749	6326
845	11758	6310
846	11776	6298
847	11786	6282
848	11796	6266
849	11806	6250
850	11817	6235
851	11834	6223
852	11853	6211
853	11863	6195
854	11878	6182
855	11894	6169
856	11904	6153
857	11915	6138
858	11925	6122
859	11944	6111
860	11956	6096
861	11967	6080
862	11990	6071
863	12005	6058
864	12016	6042
865	12029	6028
866	12043	6014
867	12060	6002
868	12071	5987
869	12085	5973
870	12095	5957
871	12106	5942
872	12120	5928
873	12132	5913
874	12141	5897
875	12158	5885
876	12170	5870
877	12180	5854
878	12200	5843
879	12212	5828
880	12223	5813
881	12247	5804
882	12259	5789
883	12272	5775
884	12284	5760
885	12294	5744
886	12308	5730
887	12326	5718
888	12343	5706
889	12361	5694
890	12374	5680
891	12386	5665
892	12412	5657
893	12433	5646
894	12451	5634
895	12464	5620
896	12480	5607
897	12493	5592
898	12505	5578
899	12521	5565
900	12539	5553
901	12553	5538
902	12572	5527
903	12602	5520
904	12610	5504
905	12626	5490
906	12636	5475
907	12658	5465
908	12671	5450
909	12693	5440
910	12704	5424
911	12713	5408
912	12726	5394
913	12741	5380
914	12750	5365
915	12762	5350
916	12781	5338
917	12792	5323
918	12825	5317
919	12836	5301
920	12847	5286
921	12858	5271
922	12870	5256
923	12880	5241
924	12890	5225
925	12902	5211
926	12914	5196
927	12925	5181
928	12936	5166
929	12949	5151
930	12965	5138
931	12976	5123
932	12987	5108
933	13000	5094
934	13014	5080
935	13026	5065
936	13039	5051
937	13048	5035
938	13062	5022
939	13080	5009
940	13096	4996
941	13112	4983
942	13124	4968
943	13141	4956
944	13152	4941
945	13176	4930
946	13187	4915
947	13198	4900
948	13210	4886
949	13219	4870
950	13229	4854
951	13241	4840
952	13251	4824
953	13268	4812
954	13292	4802
955	13306	4788
956	13324	4775
957	13336	4761
958	13350	4747
959	13360	4731
960	13375	4718
961	13389	4704
962	13403	4690
963	13419	4677
964	13431	4662
965	13444	4648
966	13454	4633
967	13464	4617
968	13478	4604
969	13493	4590
970	13516	4579
971	13527	4564
972	13538	4549
973	13547	4534
974	13561	4520
975	13574	4506
976	13583	4490
977	13593	4475
978	13614	4464
979	13631	4450
980	13642	4436
981	13653	4421
982	13663	4406
983	13671	4390
984	13690	4378
985	13701	4363
986	13711	4348
987	13723	4333
988	13740	4320
989	13752	4306
990	13767	4292
991	13783	4279
992	13794	4264
993	13803	4249
994	13815	4234
995	13826	4220
996	13838	4205
997	13855	4192
998	13869	4178
999	13886	4165
1000	13898	4151
1001	13909	4136
1002	13920	4121
1003	13930	4107
1004	13943	4092
1005	13960	4079
1006	13986	4069
1007	14003	4056
1008	14014	4041
1009	14026	4027
1010	14040	4013
1011	14051	3998
1012	14066	3985
1013	14088	3973
1014	14107	3961
1015	14121	3947
1016	14135	3933
1017	14144	3918
1018	14153	3903
1019	14173	3890
1020	14183	3875
1021	14194	3861
1022	14212	3848
1023	14225	3834
1024	14240	3820
1025	14260	3808
1026	14281	3796
1027	14296	3782
1028	14305	3767
1029	14323	3754
1030	14339	3741
1031	14357	3728
1032	14368	3713
1033	14379	3699
1034	14390	3684
1035	14398	3669
1036	14408	3654
1037	14423	3640
1038	14435	3626
1039	14456	3614
1040	14467	3599
1041	14480	3585
1042	14499	3572
1043	14510	3558
1044	14524	3544
1045	14536	3529
1046	14550	3516
1047	14574	3504
1048	14589	3490
1049	14601	3476
1050	14613	3462
1051	14629	3448
1052	14653	3437
1053	14663	3422
1054	14677	3408
1055	14691	3394
1056	14708	3381
1057	14720	3367
1058	14731	3352
1059	14750	3339
1060	14761	3325
1061	14771	3310
1062	14794	3298
1063	14803	3283
1064	14817	3269
1065	14829	3255
1066	14846	3241
1067	14857	3227
1068	14869	3213
1069	14880	3198
1070	14891	3184
1071	14901	3169
1072	14917	3155
1073	14935	3142
1074	14949	3129
1075	14960	3114
1076	14970	3099
1077	14980	3085
1078	14991	3070
1079	15001	3055
1080	15029	3044
1081	15043	3030
1082	15056	3016
1083	15068	3002
1084	15082	2988
1085	15094	2974
1086	15111	2961
1087	15123	2946
1088	15139	2933
1089	15152	2919
1090	15163	2904
1091	15174	2890
1092	15183	2875
1093	15193	2860
1094	15203	2846
1095	15218	2832
1096	15235	2819
1097	15245	2804
1098	15259	2790
1099	15271	2776
1100	15282	2762
1101	15294	2748
1102	15305	2733
1103	15316	2719
1104	15333	2705
1105	15341	2691
1106	15352	2676
1107	15362	2662
1108	15374	2647
1109	15383	2633
1110	15396	2619
1111	15406	2604
1112	15415	2590
1113	15435	2577
1114	15445	2562
1115	15457	2548
1116	15471	2534
1117	15482	2520
1118	15495	2506
1119	15514	2493
1120	15523	2478
1121	15542	2465
1122	15559	2452
1123	15570	2438
1124	15579	2423
1125	15596	2410
1126	15609	2396
1127	15621	2382
1128	15633	2367
1129	15647	2353
1130	15659	2339
1131	15675	2326
1132	15688	2312
1133	15699	2298
1134	15709	2283
1135	15720	2269
1136	15734	2255
1137	15747	2241
1138	15758	2227
1139	15774	2213
1140	15791	2200
1141	15804	2186
1142	15822	2173
1143	15833	2159
1144	15843	2144
1145	15854	2130
1146	15872	2117
1147	15889	2103
1148	15907	2090
1149	15919	2076
1150	15934	2062
1151	15945	2048
1152	15957	2034
1153	15967	2020
1154	15977	2005
1155	15990	1991
1156	16004	1978
1157	16016	1964
1158	16028	1950
1159	16037	1935
1160	16048	1921
1161	16066	1908
1162	16082	1894
1163	16093	1880
1164	16103	1866
1165	16114	1851
1166	16124	1837
1167	16139	1823
1168	16150	1809
1169	16164	1796
1170	16174	1781
1171	16184	1767
1172	16194	1753
1173	16204	1739
1174	16215	1725
1175	16232	1711
1176	16244	1697
1177	16256	1683
1178	16266	1669
1179	16277	1655
1180	16295	1641
1181	16307	1627
1182	16317	1613
1183	16332	1600
1184	16341	1585
1185	16351	1571
1186	16372	1558
1187	16386	1544
1188	16401	1531
1189	16414	1517
1190	16424	1503
1191	16433	1488
1192	16445	1475
1193	16458	1461
1194	16476	1447
1195	16486	1433
1196	16498	1419
1197	16513	1406
1198	16524	1391
1199	16534	1377
1200	16545	1363
1201	16564	1350
1202	16574	1336
1203	16586	1322
1204	16596	1308
1205	16606	1294
1206	16618	1280
1207	16630	1266
1208	16641	1252
1209	16651	1238
1210	16666	1224
1211	16681	1211
1212	16692	1197
1213	16701	1183
1214	16712	1169
1215	16722	1155
1216	16740	1141
1217	16751	1127
1218	16765	1114
1219	16784	1100
1220	16797	1086
1221	16809	1072
1222	16820	1059
1223	16839	1045
1224	16850	1031
1225	16860	1017
1226	16874	1003
1227	16891	990
1228	16907	976
1229	16917	962
1230	16932	949
1231	16949	935
1232	16964	921
1233	16977	908
1234	16988	894
1235	16998	880
1236	17009	866
1237	17019	852
1238	17047	839
1239	17058	825
1240	17068	811
1241	17088	797
1242	17097	784
1243	17112	770
1244	17123	756
1245	17132	742
1246	17145	728
1247	17160	715
1248	17172	701
1249	17183	687
1250	17198	673
1251	17216	660
1252	17225	646
1253	17236	632
1254	17247	618
1255	17262	604
1256	17280	591
1257	17291	577
1258	17302	563
1259	17313	549
1260	17329	535
1261	17341	522
1262	17353	508
1263	17371	494
1264	17407	481
1265	17416	467
1266	17426	453
1267	17437	440
1268	17447	426
1269	17464	412
1270	17483	398
1271	17493	385
1272	17503	371
1273	17515	357
1274	17535	343
1275	17547	330
1276	17557	316
1277	17567	302
1278	17579	288
1279	17593	274
1280	17604	261
1281	17619	247
1282	17628	233
1283	17638	219
1284	17649	206
1285	17662	192
1286	17673	178
1287	17685	164
1288	17699	151
1289	17711	137
1290	17722	123
1291	17738	109
1292	17755	96
1293	17766	82
1294	17778	68
1295	17789	54
1296	17806	41
1297	17824	27
1298	17838	13
1299	17848	0
